127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /contact.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /about.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /faq.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /privacy-policy.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /return-policy.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /terms.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /shipping-policy.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /manifest.json HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /assets/js/cart-checkout.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /assets/js/locations.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /assets/images/pwa-192.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /assets/images/pwa-512.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:36:35] "GET /assets/images/apple-touch-icon.png HTTP/1.1" 200 -
